rank,film_title,film_year,overall_rating,language,genre,mpaa_rating,director,actors,plot_summary
840,The Friends of Eddie Coyle,1973,3.2,English,Crime/Thriller,R,Peter Yates,"Robert Mitchum, Peter Boyle, Richard Jordan, Alex Rocco, Steven Keats, Joe Santos","Eddie Coyle is a small-time hood looking at a long sentence for repeat offenses. In order to avoid jail time he decides to turn on his ""friends"" providing information to the feds. But he is still supplying guns to his bank-robbing buddies - and he may not be the only one turning snitch."
841,Marty,1955,3.1,English,Drama/Romance,NR,Delbert Mann,"Ernest Borgnine, Betsy Blair, Jerry Paris, Esther Minciotti, Joe Mantell, Karen Steele",A buthcer's family's son is an unglamerous man who is being pushed to be married by his family when he meets a non looker as they both try to creep into true love and the feelings that go along with it.
842,"Trip to the Moon, A ( Voyage dans la lune, Le )",1902,3.1,French,Adventure/Fantasy,NR,Georges Méliès,"Georges Méliès, Henri Delannoy, Bleuette Bernon, Jeanne d'Alcy, Victor André",A group of astronomers go on a trip to the moon and back.
843,The Descendants,2011,3.0,English,Comedy/Drama,R,Alexander Payne,"George Clooney, Shailene Woodley, Amara Miller, Robert Forster, Beau Bridges, Matthew Lillard",Two teenage daughters push their father to his limit when they reveal their mother was having an affair before she had an accident.
844,Love Actually,2003,2.9,English,Comedy/Drama,R,Richard Curtis,"Bill Nighy, Colin Firth, Sienna Guillory, Liam Neeson, Emma Thompson, Gregor Fisher","Follows the the love lives of eight different couples, and their loosely interrelated interactions, in one, frantic month before Christmastime in London."
845,The Lost Boys,1987,2.9,English,Horror/Adventure,R,Joel Schumacher,"Corey Haim, Corey Feldman, Kiefer Sutherland, Dianne Wiest, Jason Patric, Edward Herrmann","A family, that is staying with their grandfather, finds that there is something strange going on in the town. The town is plagued by odd deaths and missing people, vampires could be the culprit."
846,The Big Sick,2017,3.1,English,Comedy/Romance,R,Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, Adeel Akhtar, Kurt Braunohler","After taking the next step in their relationship, a couple must figure out how to best deal with their cultural differences as their families get involved."
847,Attack,1956,3.2,English,Drama/War,NR,Robert Aldrich,"Jack Palance, Eddie Albert, Lee Marvin, Robert Strauss, Richard Jaeckel, Buddy Ebsen","In the waning days of WWII a National Guard Infantry Company is given the mission of setting up artillery observation posts in key areas. Lieutenant Costa knows that his captain, Cooney, has only achieved his position due to his connections and doubts his leadership ability. Costa and his men are sent out but after running into trouble, Cooney refuses to reinforce them. Suffering heavy losses, Costa plots revenge."
848,I Saw the Devil ( Akmareul boatda ),2011,3.0,Korean,Crime/Drama,NR,Ji-woon Kim,"Byung-hun Lee, Gook-hwan Jeon, Ho-jin Jeon, San-ha Oh, Yoon-seo Kim, Min-sik Choi","After his pregnant fiance is viciously murdered by a serial killer, a detective plots an elaborate and intricate revenge plot for the man responsible."
849,My Cousin Vinny,1992,2.9,English,Comedy/Crime,R,Jonathan Lynn,"Joe Pesci, Ralph Macchio, Marisa Tomei, Bruce McGill, Fred Gwynne, Mitchell Whitfield","Two friends from New York travel south in Alabama and find themselves on trial for murder. Without money to hire an attorney, they turn to a family lawyer, who has no trial experience, a big mouth and a loud fiancée in tow."
850,The Odd Couple,1968,3.0,English,Comedy/Drama,G,Gene Saks,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman, David Sheiner, Larry Haines",The Neil Simon play is brought to the screen with Jack Lemmon and Walter Matthau as divorced friends who move in together and strain their friendship.
851,21 Jump Street,2012,2.9,English,Action,R,"Phil Lord, Chris Miller","Channing Tatum, Jonah Hill, Brie Larson, Johnny Simmons, Johnny Depp, Ice Cube",A group of young police officers control youth crime by going undercover as students in local high schools.
852,Lost in Translation,2003,2.9,English,Comedy/Drama,R,Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris, Nancy Steiner","An actor past his prime and a bored, young wife form an unlikely companionship in Tokyo."
853,The Fall,2008,3.0,English,Drama/Fantasy,R,Tarsem Singh,"Lee Pace, Catinca Untaru, Justine Waddell, Julian Bleach, Kim Uylenbroek, Aiden Lithgow",A stunt man in 1920's Los Angeles is met in a hospital by a young girl with a broken arm.  He begins to tell her a story of 5 mythical people.  The story becomes more vivid and more tied together between the two as the film goes on.  What was the purpose of the story and how do they relate to the two characters is the real question.
854,Witness,1985,3.0,English,Thriller/Romance,R,Peter Weir,"Harrison Ford, Kelly McGillis, Lukas Haas, Danny Glover, Viggo Mortensen, Josef Sommer","A young, Amish boy is witness to a crime in Philadelphia and in order to protect him before trail and officer is sent to go undercover to protect him. While adjusting to this new life, and feelings for the boy's mother, he has to be on the lookout of the killers who will stop at nothing to keep the boy silent."
855,Ip Man ( Yip Man ),2008,3.0,Cantonese,Action/Biography,R,Wilson Yip,"Donnie Yen, Simon Yam, Siu-Wong Fan, Ka Tung Lam, Yu Xing, You-Nam Wong","An occupying Japanese general challenges Chinese men to duels so he can prove the superiority of the Japanese. Ip Man refuses to fight, but can resist for only so long."
856,It,2017,3.0,English,Horror/Thriller,R,Andrés Muschietti,"Bill Skarsgard, Jaeden Lieberher, Finn Wolfhard, Wyatt Oleff, Nicholas Hamilton, Sophia Lillis","The Losers Club is a group of like-minded outcasts that come together in the town of Derry, Maine. While dealing with the normal problems of adolescents and bullies, the town of Derry is also beset by an ancient evil, one that can take the form of whatever a person fears most - and it likes to come after children the most."
857,The Last King of Scotland,2006,3.0,English,Drama/Historical,R,Kevin Macdonald,"Forest Whitaker, James McAvoy, Gillian Anderson, Simon McBurney, Kerry Washington, Adam Kotz",A young Scottish doctor travels away from his family ways to experience something new when he runs into the new President of Uganda who happens to have strong feelings for the Scottish.
858,Moulin Rouge,2001,2.8,English,Romance/Musical,PG-13,Baz Luhrmann,"Ewan McGregor, Nicole Kidman, Richard Roxburgh, Jim Broadbent, John Leguizamo",A writer falls in love with a prostitute as he tries to write a song for the duke who becomes jealous of the love affair and tries to put an end to it.
859,His Girl Friday,1940,3.0,English,Comedy/Romance,NR,Howard Hawks,"Cary Grant, Ralph Bellamy, Rosalind Russell, Gene Lockhart, Helen Mack, John Qualen",A skillful newspaper editor is at war with his ex wife as he uses journalist and media tactics to keep his hot shot reporter of an ex wife from remarrying.
860,How to Train Your Dragon 2,2014,3.0,English,Animation/Fantasy,PG,Dean DeBlois,"Gerard Butler, Kristen Wiig, Jay Baruchel, Jonah Hill, Kit Harington, America Ferrera","Set five years after the original film: Now that humans and dragons coexist, Astrid and her gang participate in the latest sport, Dragon Racing. Meanwhile, Hiccup and Toothless explore the surrounding uncharted territories. During one such trip, the duo stumble upon a previously unknown ice caves - home to hundreds of wild dragons, a mysterious rider and a new battle that threatens the peace they have established."
861,Escape from Alcatraz,1979,3.0,English,Crime/Drama,PG,Don Siegel,"Clint Eastwood, Fred Ward, Bruce M. Fischer, Paul Benjamin, Roberts Blossom	, Frank Ronzio",A group of incarcerated men discover a way to escape from the unescapeable Alcatraz Prison in which they try to dig and decoy their way out.
862,"Conformist, The ( conformista, Il )",1970,3.0,Italian,Drama/Thriller,R,Bernardo Bertolucci,"Stefania Sandrelli, Fosco Giachetti, Jean-Louis Trintignant, Gastone Moschin, Pierre Clémenti, Enzo Tarascio","An Italian fascist with a complicated past is tasked with hunting down his old professor, who has fled Italy and is not considered an anti-fascist threat."
863,Grease,1978,2.9,English,Musical/Comedy,PG,Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Michael Tucci, Didi Conn","Greaser Danny met Sandy over the summer break, but when she joins his highschool, can they find love again?"
864,BlackBerry,2023,3.4,English,Biography/Comedy,R,Matt Johnson,"Jay Baruchel, Glenn Howerton, Matt Johnson, Cary Elwes, Saul Rubinek, Michael Ironside","Based on the true story of the world's first smartphone - beloved by millions, including the most rich and powerful in the world, before succumbing to ever-changing forces of technology - failure to innovate as they just as quickly met their demise."
865,Why Don't You Play in Hell? ( Jigoku de naze warui ),2013,3.4,Japanese,Action/Comedy,NR,Shion Sono,"Jun Kunimura, Fumi Nikaidô, Shin'ichi Tsutsumi, Hiroki Hasegawa, Gen Hoshino, Tomochika","A renegade film crew, dubbed The F*%k Bombers, finally realizes their decades-long passion to make a film - as long as they don't mind being embroiled in Yakuza clan feud where several parties will surely wind up dead."
866,The Illusionist,2006,2.9,English,Drama/Mystery,PG-13,Neil Burger,"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell, Eddie Marsan, Aaron Johnson","In Vienna around the turn of the century, fantastic magician uses his abilities to get the love of a woman."
867,The Royal Tenenbaums,2001,2.9,English,Drama/Comedy,R,Wes Anderson,"Gene Hackman, Gwyneth Paltrow, Ben Stiller, Anjelica Huston, Luke Wilson, Own Wilson","A distant family, including three child prodigies long forgotten, are brought together by patriarch Royal Tenenbaum who is hoping to mend past mistakes."
868,Battle Royale ( Batoru rowaiaru ),2000,3.0,Japanese,Action/Drama,R,Kinji Fukasaku,"""Beat"" Takeshi Kitano, Chiaki Kuriyama, Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Sousuke Takaoka","In a bleak future, 42 ninth-grade classmates are stranded on a deserted island each with a weapon and a choice: kill or be killed.  This is Battle Royale, three days, one survivor, no escape."
869,"Life, Animated",2016,3.4,English,Documentary/Animation,PG,Roger Ross Williams,"Owen Suskind, Ron Suskind",
870,Midnight Run,1988,3.0,English,Action/Adventure,R,Martin Brest,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton, Dennis Farina, Joe Pantoliano","Jack Walsh (De Niro) works as a bounty hunter for a living. He gets an offer to catch 'the duke' and bring him back to L.A. But Jack Walsh isn't the only one who's chasing him. Soon FBI,Police and even the Mob are included. And Jack Walsh has to do whatever he can to beat them."
871,Finding Neverland,2004,2.9,English,Drama/Biography,PG,Marc Forster,"Johnny Depp, Kate Winslet, Dustin Hoffman, Kelly Macdonald, Julie Christie, Radha Mitchell",The biography of the creator of Peter Pan and the inspirations that helped him.
872,Collateral,2004,2.9,English,Crime/Thriller,R,Michael Mann,"Tom Cruise, Jada Pinkett Smith, Jamie Foxx, Peter Berg, Mark Ruffalo, Bruce McGill",An innocent Cab Driver (Fox) gets caught up in the middle of hit jobs when a hit man brings him into his murders through out L.A. He tries to do the right thing but is put to the test when the hit man tries to become his friend.
873,Umberto D,1952,3.1,Italian,Drama,PG,Vittorio De Sica,"Maria-Pia Casilio, Carlo Battisti, Elena Rea, Memmo Carotenuto, Lina Gennari, Ileana Simova","An old service man is trying to pay rent on his small and dwindling pension.  He must deal with his landlady, and society to try and make it work in his final days of his life."
874,Alice in Wonderland,1951,2.9,English,Animation/Adventure,G,"Clyde Geronimi, Wilfred Jackson","Kathryn Beaumont, Ed Wynn, Richard Haydn, Sterling Holloway, Jerry Colonna, Verna Felton","Based on the book by Lewis Carroll - when a bored young girl follows a white rabbit with a pocket watch, she ends up in Wonderland where she will meet a host of strange and wonderful creatures including the Mad Hatter, Cheshire Cat and the quick-to-anger Queen of Hearts."
875,Mother ( Madeo ),2009,3.1,Korean,Crime/Drama,R,Joon-ho Bong,"Bin Won, Ku Jin, Hye-ja Kim, Yoon Jae-Moon, Mun-hee Na, Mi-sun Jun","When her mentally disabled son is accused of murder, his over protective mother takes on local hoods and a corrupt police department to find the killer."
876,Mulan,1998,2.9,English,Animation/Adventure,G,"Tony Bancroft, Barry Cook","Ming-Na, Eddie Murphy, June Foray, Miguel Ferrer, James Hong, Harvey Fierstein",A young Chinese girl dresses as a man and takes her father's place in the Imperial army.
877,Terms of Endearment,1983,3.0,English,Drama,PG,James L. Brooks,"Jack Nicholson, Danny DeVito, John Lithgow, Shirley MacLaine, Debra Winger, Lisa Hart Carroll",A mother/daughter duo have differences of opinions about how run each others lives and display love in different ways.
878,Brave,2012,2.9,English,Animation/Adventure,PG,Mark Andrews,"Emma Thompson, Kelly Macdonald, Kevin McKidd, Robbie Coltrane, Julie Walters, Craig Ferguson",A young princess makes a reckless choice that has grave consequences for her kingdom unless she can summon the courage to face the curse head on in this mythological Scottish tale.
879,The Jungle Book,1967,2.9,English,Animation/Adventure,G,Wolfgang Reitherman,"Phil Harris, Sebastian Cabot, Louis Prima, George Sanders, Sterling Holloway, Bruce Reitherman","Based on Rudyard Kipling's tale of a boy raised by wolves, but with the Disney touch, talking animals, and memorable songs."
880,Three Colors: White ( Trzy kolory: Bialy ),1994,3.0,Polish,Drama/Comedy,R,Krzysztof Kieslowski,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr, Aleksander Bardini, Grzegorz Warchol","A Polish man is coldly abandoned by his French wife.  After making a fortune, he sets about getting revenge.  Second in Kieslowski's ""Three Colors"" trilogy, preceded by ""Blue"" and followed by ""Red."""
881,Children of Heaven ( Bacheha-Ye aseman ),1999,3.1,Persian,Comedy/Drama,PG,Majid Majidi,"Amir Farrokh Hashemian, Mohammad Amir Naji, Bahare Seddiqi, Nafise Jafar-Mohammadi, Fereshte Sarabandi, Kamal Mirkarimi",Ali has lost his younger sister's shoes at the market. He comes up with a solution until he can somehow find a new pair: they will share his shoes.
882,Russian Ark ( Russkiy kovcheg ),2002,3.1,Russian,Drama/Fantasy,NR,Aleksandr Sokurov,"Sergei Dontsov, Mariya Kuznetsova, Leonid Mozgovoy, Mikhail Piotrovsky, David Giorgobiani, Aleksandr Chaban",Fantasy following a 19th century French aristocrat - who is quite critical of the Russian way of life - as he travels through the Russian State Hermitage Museum and interacts with historical figures covering over 200 years of Russian history.
883,Cross of Iron,1977,3.1,English,Drama/War,R,Sam Peckinpah,"James Coburn, Maximilian Schell, James Mason, David Warner, Klaus Löwitsch, Vadim Glowna","During WWII, battle-hardened Rolf Steiner leads many successful missions but when a new Prussian commander is assigned, the man wants only one thing - an Iron Cross to maintain his families honor. The two men cannot coexist as honor and arrogance collide."
884,Before Sunset,2004,3.0,English,Drama/Romance,R,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torres, Rodolphe Pauly, Mariane Plasteig","9 years have passed since Jesse and Celine first met (""Before Sunrise"") as they meet each other again in France to discuss their past and what could have been."
885,Woman in the Dunes ( Suna no onna ),1964,3.1,Japanese,Drama,NR,Hiroshi Teshigahara,"Kyôko Kishida, Eiji Okada, Koji Mitsui, Sen Yano, Kinzo Sekiguchi","A naturalist professor, looking in the desert for insects, becomes imprisoned by a woman living in the valley of sand dunes."
886,Under the Shadow,2016,3.2,Persian,Horror/Thriller,PG-13,Babak Anvari,"Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian, Arash Marandi, Behi Djanati Atai","Stranded in their flat during the Iran/Iraq war, a young Iranian mother and her daughter are haunted by an evil spirit."
887,Judas and the Black Messiah,2021,3.1,English,Biography/Drama,R,Shaka King,"Daniel Kaluuya, LaKeith Stanfield, Jesse Plemons, Martin Sheen, Dominique Fishback, Lil Rel Howery","As the Black Panther movement spread across the United States, J. Edgar Hoover seeing a threat bigger than Communism seeks a scapegoat and finds it in Fred Hampton, leader of the Chicago chapter. Bill O'Neal, seeking to avoid jail for impersonating an FBI agent, is recruited to go undercover - quickly rising to head of security and reporting on his findings. But soon it becomes apparent jail is not good enough to stop Hampton and O'Neal will have to decide how far he is willing to go to appease the FBI."
888,I Am Legend,2007,2.8,English,Thriller/Sci-Fi,PG-13,Francis Lawrence,"Will Smith, Alice Braga, Paradox Pollack, Salli Richardson, Sterling Wolfe, Charlie Tahan","Due to a terrible virus, a scientist believes he is  the last human on earth.  After three years of trying to survive from the infected, he seeks hope."
889,Onibaba,1965,3.1,Japanese,Drama/Horror,NR,Kaneto Shindô,"Nobuko Otowa, Jitsuko Yoshimura, Kei Sato, Jukichi Uno, Taiji Tonoyama","As a feudal war ravages Japan, a soldier leaves behind his wife and mother. Together they scrounge by waylaying tired and wounded soldiers and selling their arms to a greedy merchant. An old friend returns and spells out the fate of the missing  husband and son - soon the young widow gives into lust and the mother is left lonely, jealous and plotting her revenge."
890,Bridge of Spies,2015,3.0,English,Drama/Thriller,PG-13,Steven Spielberg,"Tom Hanks, Billy Magnussen, Alan Alda, Austin Stowell, Amy Ryan, Mark Rylance",At the height of the Cold War and American lawyer is recruited by the CIA in order to broker a deal with the Soviet Union for the release of a pilot being held in the U.S.S.R.
891,The 40 Year-Old Virgin,2005,2.9,English,Comedy,R,Judd Apatow,"Steve Carrell, Catherine Keener, Paul Rudd, Seth Rogan, Romany Malco, Elizabeth Banks","When a group of employees find out their 40-year old co-worker is still a virgin, they band together to help him with this problem."
892,Glass Onion: A Knives Out Mystery,2022,3.1,English,Crime/Thriller,PG-13,Rian Johnson,"Daniel Craig, Edward Norton, Kate Hudson, Janelle Monáe, Dave Bautista, Kathryn Hahn","At the height of the lockdown and going sitr-crazy, the world's premier detective Benoit Blanc, finds himself receiving an invitation to an island paradise owned by Miles Bron, tech billionaire - who is putting on a murder mystery for his closest friends. When Blanc is informed he actually wasn't invited, it opens up more questions - and this game takes a decidedly serious tone, especially when it becomes apparent there is more than one murder to be solved."
893,Gaslight,1944,3.0,English,Drama/Mystery,NR,George Cukor,"Charles Boyer, Ingrid Bergman, Joseph Cotten, Dame May Whitty, Angela Lansbury, Barbara Everest","Years after her aunt, a famous singer, was murdered, Paula (Ingrid Bergman) moves back to her aunt's London home with her new husband Gregory (Charles Boyer).  But slowly Paula begins to lose her grip on reality.  Is Paula's madness congenital, or is Gregory torturing her?"
894,John Wick: Chapter 4,2023,3.1,English,Action/Crime,R,Chad Stahelski,"Keanu Reeves, Donnie Yen, Bill Skarsgård, Laurence Fishburne, Hiroyuki Sanada, Shamier Anderson","John Wick has one, final chance at earning true freedom: take down The High Table. He has a chance but before he can act, a new enemy with powerful allies across the globe plots to take him out and even old friends become enemies in the fight."
895,Nomadland,2020,3.1,English,Drama,R,Chloé Zhao,"Frances McDormand, Gay DeForest, Patricia Grier, Linda May, Angela Reyes, Carl R. Hughes","Fern has lived all her life in a company town in rural Nevada. When the recession causes the small-town economy to collapse she packs up her van and takes off, deciding to explore life as a modern-day nomad."
896,Spider-Man: Across the Spider-Verse,2023,3.1,English,Animation/Action,PG,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Oscar Isaac, Issa Rae, Jake Johnson, Brian Tyree Henry","A multi-verse of Spider-beings awaits Miles Morales after a villain named Spot - one he helped create - gains the power to travel through the various worlds. But even though he thinks he has friends Gwen and Peter B. Parker, the master of the self-proclaimed master of the spider-verse, Miguel O'Hara - thinks Miles himself represents the biggest threat to the threads that hold all the worlds together."
897,Fast Times at Ridgemont High,1982,2.9,English,Comedy,R,Amy Heckerling,"Sean Penn, Judge Reinhold, Jennifer Jason Leigh, Phoebe Cates, Ray Walston, Brian Backer","A group of southern California teenagers experience life, love, sex and rock n roll."
898,American Fiction,2023,3.3,English,Comedy/Drama,R,Cord Jefferson,"Jeffrey Wright, Sterling K. Brown, Issa Rae, Adam Brody, Elle Sciore, Miriam Shor",
899,Man on Fire,2004,2.9,English,Adventure/Crime,R,Tony Scott,"Denzel Washington, Dakota Fanning, Marc Anthony, Radha Mitchell, Christopher Walken, Giancarlo Giannini","In Mexico City, kidnapping is a way of life and wealthy families turn to professional bodyguards for help. Enter John Creasy, an ex CIA operative/assassin who has all but given up on life. Taking a job at the behest of an old friend, his rough exterior is slowly chipped away by a 9-year-old girl he is protecting. When he is wounded during her kidnapping, he vows to kill anyone involved."
900,Ford v. Ferrari,2019,3.1,English,Biography/Drama,PG-13,James Mangold,"Christian Bale, Matt Damon, Jon Bernthal, Caitriona Balfe, Josh Lucas, Noah Jupe","American car designer Carroll Shelby teams up with driver Ken Miles - taking on corporate bureaucracy, personal demons and the very laws of physics in order to design a car for Ford that will be able to take on Ferrari in the prestigious 24 Hours of Le Mans race in 1966."
901,Imitation of Life,1959,3.0,English,Drama/Romance,NR,Douglas Sirk,"Lana Turner, John Gavin, Sandra Dee, Robert Alda, Susan Kohner, Dan O'Herlihy",A black woman has a biracial daughter and is hired by a white lady to manage her home.
902,On Golden Pond,1981,3.0,English,Drama,PG,Mark Rydell,"Katharine Hepburn, Henry Fonda, Jane Fonda, Doug McKeon, Dabney Coleman, William Lanteau",An elderly couple wants to enjoy their life with their grandson.
903,Stroszek,1977,3.1,German,Drama,NR,Werner Herzog,"Bruno S., Eva Mattes, Clemens Scheitz, Wilhelm von Homburg, Burkhard Driest, Clayton Szalpinski","In Berlin, an alcoholic man, recently released from prison, joins his elderly friend and a prostitute in a determined dream to leave Germany and seek a better life in Wisconsin."
904,The Shape of Water,2017,3.0,English,Drama/Fantasy,R,Guillermo del Toro,"Sally Hawkins, Octavia Spencer, Michael Shannon, Michael Stuhlbarg, Richard Jenkins, Doug Jones","Set against the backdrop of the Cold War - Elisa works in a highly classified and isolated secret government facility. Her days are as cold and lonely as the place she works but everything changes when she and her co-worker, Zelda, uncover secret classified experiment."
905,Searching,2018,3.1,English,Drama,PG-13,Aneesh Chaganty,"John Cho, Debra Messing, Joseph Lee, Michelle La, Sara Sohn, Gage Biltoft","Told entirely from the point-of-view of a computer screen, a father searches his missing 15-year-old daughter's laptop and social media accounts in hopes of finding out what has happened to her."
906,Frances Ha,2013,3.1,English,Comedy,R,Noah Baumbach,"Greta Gerwig, Mickey Sumner, Adam Driver, Michael Zegen, Patrick Heusinger, Justine Lupe",A 27-year-old New York woman tries to find her place in life - she works at a dance company but doesn't dance - has a best friend she hardly talks to and lives an apartment she doesn't really own.
907,A Quiet Place,2018,3.0,English,Drama/Thriller,PG-13,John Krasinski,"John Krasinski, Emily Blunt, Noah Jupe, Millicent Simmonds, Cade Woodward, Evangelina Cavoli",A family leaves in fear and isolation following a global event that has unleashed a horror that will attack at the slightest sound.
908,The Crowd,1928,3.1,English,Drama,NR,King Vidor,"Eleanor Boardman, James Murray, Bert Roach, Estelle Clark, Daniel G. Tomlinson, Dell Henderson","Follows the story of a couple as they navigate life, love, hopes and downfalls in a crowded metropolis."
909,Queen of Earth,2015,3.3,English,Drama/Thriller,NR,Alex Ross Perry,"Elisabeth Moss, Patrick Fugit, Katherine Waterston, Kate Lyn Sheil, Kentucker Audley, Keith Poulson",
910,"Crazy, Stupid, Love.",2011,2.9,English,Comedy/Drama,PG-13,"Glenn Ficarra, John Requa","Emma Stone, Steve Carell, Julianne Moore, Kevin Bacon, Marisa Tomei, Ryan Gosling",A father finds himself in over his head when he's forced to deal with a marital crisis and maintain the relationship with his children.
911,A Face in the Crowd,1957,3.1,English,Drama,NR,Elia Kazan,"Andy Griffith, Patricia Neal, Anthony Franciosa, Walter Matthau, Lee Remick, Percy Waram","An Arkansas hobo becomes an overnight media sensation. But as he becomes drunk with fame and power, will he ever be exposed as the fraud he has become?"
912,Doctor Sleep,2019,3.1,English,Horror,R,Mike Flanagan,"Ewan McGregor, Rebecca Ferguson, Zahn McClarnon, Kyliegh Curran, Jacob Tremblay, Bruce Greenwood","It has been decades since the events of The Shining and Danny Torrence, now a middle-aged man, is trying to cope both with his father's legacy of alcoholism and his own gift, which he uses at a small town in Massachusetts, helping the elderly pass on as Doctor Sleep. But when he discovers a young girl with the most powerful Shine he has experienced, he must face both his past and the present when she comes under the gaze of The True Knot, a group that feeds on the Shine to sustain themselves."
913,Chak De! India,2007,3.1,Hindi,Family/Drama,PG,Shimit Amin,"Sagarika Ghatge, Vidya Malvade, Chitrashi Rawat, Anaitha Nair, Tanya Abrol, Masochon V. Zimik","Ex-captain of the Men's Hockey team, Kabir Khan, comes to coach the Women's National Hockey Team. The girls in the team have their own agenda - they have forgotten what it's like to play the game for the love of it... and for the country. However, Khan, is determined to change it all - and his aim is nothing less than the World Championship. It is a coach's story of making his team overcome their differences and make them realize what it's like to be a part of Team India - victorious Team India."
914,'71,2015,3.1,English,Action/Drama,R,Yann Demange,"Jack O'Connell, Sam Reid, Sean Harris, Charlie Murphy, Paul Anderson, Sam Hazeldine","Following deadly riots on the streets of Belfast, a young British soldier gets separated from his unit. Alone and disoriented, he must navigate the deadly streets, survive the night and somehow get out alive."
915,Before Midnight,2013,3.0,English,Drama,R,Richard Linklater,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Athina Rachel Tsangari, Ariane Labed, Xenia Kalogeropoulou","Two decades after their fateful meeting on a train bound for Vienna, we meet back up with Jesse and Celine now in Greece."
916,The Last Emperor,1987,3.0,English,Historical/Biography,PG-13,Bernardo Bertolucci,"Peter O'Toole, Joan Chen, Ruocheng Ying, Vivian Wu, Ryuichi Sakamoto, John Lone",The story of the last emperor of China as told through flash backs and flash forwards.
917,Starred Up,2014,3.1,English,Drama,NR,David Mackenzie,"Jack O'Connell, Rupert Friend, Ben Mendelsohn, Sam Spruell, David Ajala, Sian Breckin",
918,Autumn Sonata ( Höstsonaten ),1978,3.1,Swedish,Drama,PG,Ingmar Bergman,"Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk, Marianne Aminoff, Arne Bang-Hansen","After being absent, a world-famous pianist returns home to her daughter. When she arrives, she is surprised to discover that Eva has also taken in her mentally-disabled sister, Helena from the institutions where she had been left years before. After a tense number of days, a late-night conversation will release everything that has been kept unsaid throughout the years."
919,Creed,2015,3.0,English,Sport/Drama,PG-13,Ryan Coogler,"Sylvester Stallone, Michael B. Jordan, Graham McTavish, Tessa Thompson, Phylicia Rashad, Tony Bellew","Former Heavyweight Champion Rocky Balboa finds himself taking charge of the training and mentoring of Adonis Creed - son of his late friend, and one-time rival, Apollo Creed."
920,"Two Days, One Night ( Deux jours, une nuit )",2014,3.1,French,Drama,PG-13,"Jean-Pierre Dardenne, Luc Dardenne","Marion Cotillard, Fabrizio Rongione, Pili Groyne, Simon Caudry, Catherine Salée, Batiste Sornin","A young, Belgian mother finds out about a plot at her workplace: her co-workers are willing to sack her in order to receive a significant pay increase. Now she has only the weekend to somehow convince the majority to keep her on and give up the extra money."
921,"Wind Rises, The ( Kaze tachinu )",2014,3.1,Japanese,Anime/Biography,PG-13,Hayao Miyazaki,"Hideaki Anno, Jun Kunimura, Mirai Shida, Miori Takimoto, Hidetoshi Nishijima, Masahiko Nishimura",Hayao Miyazaki's latest film focuses on the life of Jiro Horikoshi - the man responsible for the design of the Japanese Zero fighter that saw much use in WWII. It is also a reflection of life in Japan during the first half of the 20th century.
922,Bambi,1942,2.9,English,Animation/Family,G,David Hand,"John Sutherland, Tim Davis, Margaret Lee, Thelma Boardman, Hardie Albright, Sam Edwards",A year in the life of a deer named Bambi.
923,The Snowman,1982,3.3,English,Animation/Adventure,NR,"Dianne Jackson, Jimmy T. Murakami","Raymond Briggs, David Bowie",A young boy goes on an adventure with a snowman that has come to life.
924,Fried Green Tomatoes,1991,3.0,English,Drama/Comedy,PG-13,Jon Avnet,"Kathy Bates, Mary Stuart Masterson, Mary-Louise Parker, Jessica Tandy, Cicely Tyson, Chris O'Donnell",A woman in a troubled marriage strikes up a relationship with a woman in a nursing home. The stories she hears inspires change in her own life.
925,Live Free or Die Hard,2007,2.9,English,Action/Adventure,R,Len Wiseman,"Bruce Willis, Timothy Olyphant, Maggie Q, Justin Long, Jeffrey Wright, Mary Elizabeth Winstead",John McClane (Willis) takes on internet terrorists that threaten to take down the US Government.
926,Departures ( Okuribito ),2009,3.1,Japanese,Drama,NR,Yojiro Takita,"Masahiro Motoki, Tsutomu Yamazaki, Ryoko Hirosue, Kazuko Yoshiyuki, Kimiko Yo, Takashi Sasano",
927,Minority Report,2002,2.9,English,Sci-Fi/Action,PG-13,Steven Spielberg,"Tom Cruise, Max von Sydow, Jessica Capshaw, Neal McDonough, Steve Harris, Patrick Kilpatrick","In the future, the department of precrime arrest criminals before they commit a crime.  When the head of the department is accused of a future crime, he sets out to prove his innocence."
